Process,Step,Value,Units
cell efficiency,STC,19.89,%
module border area,1,-1.79,%
cell spacing area,2,-0.72,%
glass reflection,3,-0.69,%
glass absorption,4,-0.2,%
reflection glass/encap,5,0,%
encapsulant abs,6,-0.21,%
shading of ribbon,7,-0.32,%
coupling AR,8,0.21,%
coupling finger,9,0.32,%
coupling intercon,10,0.02,%
coupling blacksheet,11,0.27,%
cell interconnection,12,-0.51,%
string interconnection,13,-0.04,%
module efficiency,STC,16.23,%
